사업장명칭,주사육업종,사업장소재지(도로명),사육두수
코리아농장,한우,경상남도 진주시 대곡면 진의로 733-75,55
경현목장,한우,경상남도 진주시 대곡면 월암로 301-23,210
OK목장,한우,경상남도 진주시 대곡면 진의로 664,11
설매농장,돼지,경상남도 진주시 대곡면 월암로 233-10,3800
상촌목장,젖소,경상남도 진주시 대곡면 월암로 178-18,50
광석목장,젖소,경상남도 진주시 대곡면 진의로 1180-23,63
대룡농장,돼지,경상남도 진주시 대곡면 신흥길1번길 2-113,500
진주오리농장,오리,경상남도 진주시 대곡면 널방재길 284,1500
동관농장,한우,경상남도 진주시 명석면 진주대로 2597-24,48
경성목장,한우,경상남도 진주시 명석면 광제산로864번길 16,40
안성농장,한우,경상남도 진주시 명석면 판문로 450,20
팔미농장,한우,경상남도 진주시 명석면 진주대로 2367-31,20
송정목장,젖소,경상남도 진주시 문산읍 문산로 609-14,33
진주축협생축사업장,한우,경상남도 진주시 정촌면 정촌로 752,130
성전농장,한우,경상남도 진주시 일반성면 반성로 102,89
제일농장,한우,경상남도 진주시 일반성면 반성로38번길 9-7,11
도동농장,한우,경상남도 진주시 일반성면 반성로 50,18
황송농장,한우,경상남도 진주시 일반성면 반성로38번길 27,30
남산농장,한우,경상남도 진주시 일반성면 남산길 32-93,909
답천농장,한우,경상남도 진주시 일반성면 떡보길110번길 5,69
오성농장,돼지,경상남도 진주시 미천면 안간길75번길 35,520
행복농장,돼지,경상남도 진주시 미천면 향양로370번길 19-14,990
우리목장,한우,경상남도 진주시 미천면 진산로 1843,15
동화농장2호점,돼지,경상남도 진주시 미천면 어옥로 37,3500
외율농장,한우,,20
오봉농장,돼지,경상남도 진주시 명석면 대평로 319-5,2000
도도야팜스 한들농장,돼지,경상남도 진주시 명석면 대평로 319-7,1800
영덕농장,한우,경상남도 진주시 미천면 진산로 1837-1,18
푸른농장,돼지,경상남도 진주시 이반성면 오봉산로880번길 94,900
경상국립대학교 농업생명과학대학 부속동물사육장,젖소,경상남도 진주시 금산면 월아산로 1811,124
해맑음 축산,돼지,경상남도 진주시 미천면 오방로1088번길 18-47,650
영오목장,한우,경상남도 진주시 대곡면 오방로 120-42,160
대뫼목장,젖소,경상남도 진주시 대곡면 대화로 145-8,93
시장목장,한우,경상남도 진주시 정촌면 정촌로 417-78,75
토실목장,젖소,경상남도 진주시 일반성면 운천길160번길 16-8,55
김진수농장,한우,,5
허준농장,돼지,경상남도 진주시 대곡면 유곡로 230,1500
남산농장,한우,,3
대곡농장,한우,경상남도 진주시 대곡면 진의로 733-49,20
갈우농장,한우,,190
외율한우농장,한우,경상남도 진주시 명석면 진주대로 2597-23,16
장춘축산,한우,경상남도 진주시 금곡면 죽곡길118번길 113-6,100
개암농장,한우,경상남도 진주시 일반성면 반성로 8,80
과산목장,한우,경상남도 진주시 집현면 신당길207번길 23,50
신토농장,육우,경상남도 진주시 일반성면 일사로 198-23,13
광희축사,한우,경상남도 진주시 명석면 진주대로2521번길 22,15
엄정농원,한우,경상남도 진주시 금곡면 검암길 87-9,25
태영축산,한우,경상남도 진주시 사봉면 사군로 404-65,89
민국목장,한우,경상남도 진주시 사봉면 금평로 100-38,40
옥천축산,한우,경상남도 진주시 미천면 어옥로 150-9,22
무궁화축산,한우,경상남도 진주시 이반성면 오봉산로 836-13,249
초원정축산,한우,경상남도 진주시 이반성면 오봉산로 858-27,36
벌당농장,한우,경상남도 진주시 미천면 오방로 318-40,55
새밭골축산,한우,경상남도 진주시 이반성면 하곡로260번길 13,11
하촌목장,한우,,9
용규축산,한우,경상남도 진주시 사봉면 동부로 1919-75,45
죽산농장,한우,경상남도 진주시 금곡면 죽곡길 141,9
마굿간,한우,경상남도 진주시 진성면 진의로62번길 14,9
매실농장,한우,경상남도 진주시 이반성면 오봉산로 752,29
칠성목장,한우,경상남도 진주시 이반성면 진마대로2498번길 75-15,8
칠성농장,한우,,20
