사업장명칭,주사육업종,사업장소재지(도로명),사육두수
우심농장,한우,경상남도 진주시 내동면 내축로 407,4
신화농장,산양,,121
종태농장,한우,경상남도 진주시 일반성면 남산길 119,3
흑염소 농장,산양,,250
영봉산흑염소농장,산양,경상남도 진주시 이반성면 오봉산로880번길 152,29
병구농장,한우,경상남도 진주시 일반성면 반성로127번길 170-8,6
외율농장,한우,경상남도 진주시 명석면 진주대로 2627-1,3
친우농장,산양,,15
버드실농장,한우,경상남도 진주시 대곡면 대화로 53-60,13
온수골농장,산양,,15
산들에 흑염소,산양,,80
장춘축산(2호),한우,경상남도 진주시 금곡면 죽곡길118번길 137-8,100
부돌농장,산양,,12
온땅농장,종계/산란계,,180
온땅유정란,종계/산란계,경상남도 진주시 수곡면 사곡로 153-73,0
월성농장,한우,경상남도 진주시 사봉면 동부로1803번길 18-3,6
미연농장,한우,경상남도 진주시 진성면 온수길 94,2
해광농장,산양,,40
울타리농장,한우,경상남도 진주시 이반성면 하곡로 149-5,16
월아농장,염소,,20
산심농장,사슴,경상남도 진주시 수곡면 시묘산길 200-61,7
염소농장,산양,,12
신토농장2,한우,경상남도 진주시 진성면 대사길19번길 69-62,100
병효농장,한우,경상남도 진주시 이반성면 발산길48번길 6,5
주은농장,종계/산란계,경상남도 진주시 일반성면 반성로127번길 19,78000
H축산,한우,경상남도 진주시 진성면 대사길16번길 24,30
부자농장,염소,,1
대박농장,염소,,2
세화농장,염소,경상남도 진주시 집현면 진산로1391번길 146-52,50
제이농장2,한우,경상남도 진주시 금곡면 금곡로 53-11,70
유린축산,육계,,39000
서덕순축산2,한우,,13
형제축산,한우,경상남도 진주시 사봉면 사군로 640-66,100
청우농장,한우,경상남도 진주시 진성면 일사로 590-194,75
무궁화축산2,한우,경상남도 진주시 이반성면 오봉산로 836-27,111
우미소농장,한우,경상남도 진주시 일반성면 일사로 198-17,130
경진목장,한우,경상남도 진주시 진성면 진의로94번길 43-43,8
해맑음축산2,한우,,1
검정골흑염소농장,염소,,20
그린농장,한우,경상남도 진주시 사봉면 사군로791번길 123-73,22
윤규농장,한우,경상남도 진주시 일반성면 수목원로277번길 47,3
다모아농장,한우,경상남도 진주시 사봉면 동부로 1919-27,28
영상목장,한우,경상남도 진주시 사봉면 동부로1602번길 81-11,35
원식농장,한우,경상남도 진주시 진성면 일사로 590-110,30
청야한우농장,한우,경상남도 진주시 대곡면 대화로105번길 95-39,10
시골부부축산(시골농장),한우,경상남도 진주시 일반성면 일사로 315-69,0
박영수농장,한우,경상남도 진주시 진성면 진의로 292,2
대양농장,한우,경상남도 진주시 일반성면 일사로326번길 19,4
진호농장,한우,경상남도 진주시 금곡면 월아산로 489-10,14
우리농장,한우,경상남도 진주시 금곡면 검암길62번길 12-1,4
대산농장,한우,경상남도 진주시 진성면 일사로499번길 12,7
계림농원,종계/산란계,,1100
순태농장,한우,경상남도 진주시 진성면 일사로693번길 43-1,16
말숙농장,한우,경상남도 진주시 일반성면 남산길 32-40,0
동이축산,한우,경상남도 진주시 미천면 향양로370번길 9-357,6
정수농장,한우,경상남도 진주시 이반성면 오봉산로949번길 24,8
준형이네 농장,한우,경상남도 진주시 지수면 청담길 65-21,21
명성농장,한우,경상남도 진주시 진성면 일사로 590-170,30
청수농원,한우,경상남도 진주시 대곡면 마진한실로 345,2
토담사슴농장,사슴,경상남도 진주시 명석면 관덕길 184,1
분지농장,돼지,경상남도 진주시 수곡면 사곡로 552-32,1800
자연농장,염소,경상남도 진주시 문산읍 갈곡길 133-26,67
상남축산2,한우,경상남도 진주시 일반성면 남산길 30,0
오봉농장2,돼지,경상남도 진주시 명석면 대평로 319-31,1560
마성농장,한우,경상남도 진주시 사봉면 지사로349번길 76-32,7
남경축산,한우,경상남도 진주시 지수면 방어산로 34,7
순순농장,한우,,13
한우리 농장2,한우,경상남도 진주시 대곡면 대화로105번길 95-37,30
갈우농장2,한우,,37
개암농장,한우,경상남도 진주시 일반성면 일사로 315-40,16
청호농장,한우,경상남도 진주시 일반성면 일사로 315-46,40
월하농원,한우,경상남도 진주시 미천면 향양로529번길 120,0
두성농장,한우,,15
오색농원,한우,경상남도 진주시 미천면 널방재길 114-2,0
평촌농장,한우,경상남도 진주시 이반성면 오봉산로 1062-57,0
관동농장,한우,경상남도 진주시 일반성면 일사로 315-38,20
삼솔2농장,한우,경상남도 진주시 진성면 일사로 590-108,50
산골농원,염소,,23
삼솔농장,한우,경상남도 진주시 이반성면 장안로65번길 92-17,10
새해축산,한우,경상남도 진주시 미천면 향양로370번길 9-389,6
송림축산,한우,경상남도 진주시 수곡면 덕천로 166-14,7
용산목장,한우,경상남도 진주시 사봉면 지사로 454,100
서한농장,한우,경상남도 진주시 이반성면 오봉산로880번길 11,10
자연 품은 농장,종계/산란계,경상남도 진주시 이반성면 반성로 163-60,4500
진양농장,한우,,0
늘푸른 농장,한우,경상남도 진주시 진성면 일사로487번길 15-32,0
화천목장,한우,,0
우미소2농장,한우,경상남도 진주시 일반성면 일사로 242,0
늘봄농장,한우,경상남도 진주시 일반성면 일사로 315-83,0
제이제이농장2,한우,,0
금곡한우농장,한우,경상남도 진주시 금곡면 정자천로 28,0
월아목장2,젖소,,0
한울농장,한우,경상남도 진주시 금곡면 정자천로 30,0
진성농장,한우,,0
동우농장,한우,,0
강희농장,한우,경상남도 진주시 문산읍 갈곡길 143-23,0
김득호농장,젖소,,0
명선농장,한우,경상남도 진주시 문산읍 이곡길 74-17,0
진주종계장,종계/산란계,경상남도 진주시 미천면 진산로2018번길 80,0
코코농장,한우,경상남도 진주시 사봉면 사군로 640-60,0
대성농장,한우,경상남도 진주시 지수면 지수로 349-10,0
상인농장,한우,경상남도 진주시 이반성면 하곡로 134-23,0
도창골목장,한우,,0
문산농장,육우,경상남도 진주시 문산읍 문산로 946-24,0
아들농장,한우,경상남도 진주시 문산읍 갈곡길 143-19,0
반짝반짝한우,한우,경상남도 진주시 이반성면 길성길 2-92,0
한재농장,한우,경상남도 진주시 이반성면 오봉산로 1062-63,0
영오한우농장,한우,경상남도 진주시 대곡면 오방로 258-83,100
동화농장 1호점,돼지,경상남도 진주시 미천면 어옥로 37,1820
남산한우농장,한우,경상남도 진주시 일반성면 일사로 315-77,54
